;Date;Births
0;01/01/1749;3136
1;01/02/1749;3605
2;01/03/1749;4563
3;01/04/1749;2945
4;01/05/1749;6816
5;01/06/1749;6348
6;01/07/1749;8321
7;01/08/1749;4033
8;01/09/1749;5208
9;01/10/1749;5292
10;01/11/1749;23232
11;01/12/1749;6721
12;01/01/1750;5043
13;01/02/1750;5208
14;01/03/1750;7400
15;01/04/1750;7105
16;01/05/1750;7400
17;01/06/1750;9185
18;01/07/1750;6816
19;01/08/1750;9747
20;01/09/1750;7701
21;01/10/1750;3888
22;01/11/1750;3675
23;01/12/1750;5292
24;01/01/1751;4563
25;01/02/1751;1776
26;01/03/1751;1925
27;01/04/1751;2821
28;01/05/1751;3333
29;01/06/1751;2408
30;01/07/1751;4033
31;01/08/1751;3333
32;01/09/1751;507
33;01/10/1751;456
34;01/11/1751;705
35;01/12/1751;1680
36;01/01/1752;1121
37;01/02/1752;2241
38;01/03/1752;4720
39;01/04/1752;3201
40;01/05/1752;3267
41;01/06/1752;1452
42;01/07/1752;5633
43;01/08/1752;736
44;01/09/1752;645
45;01/10/1752;1976
46;01/11/1752;1281
47;01/12/1752;1408
48;01/01/1753;1728
49;01/02/1753;901
50;01/03/1753;1875
51;01/04/1753;1365
52;01/05/1753;1121
53;01/06/1753;901
54;01/07/1753;408
55;01/08/1753;1365
56;01/09/1753;675
57;01/10/1753;616
58;01/11/1753;341
59;01/12/1753;40
60;01/01/1754;0
61;01/02/1754;8
62;01/03/1754;3
63;01/04/1754;147
64;01/05/1754;408
65;01/06/1754;645
66;01/07/1754;300
67;01/08/1754;133
68;01/09/1754;75
69;01/10/1754;533
70;01/11/1754;176
71;01/12/1754;12
72;01/01/1755;96
73;01/02/1755;120
74;01/03/1755;33
75;01/04/1755;48
76;01/05/1755;0
77;01/06/1755;0
78;01/07/1755;75
79;01/08/1755;8
80;01/09/1755;300
81;01/10/1755;507
82;01/11/1755;33
83;01/12/1755;341
84;01/01/1756;120
85;01/02/1756;48
86;01/03/1756;27
87;01/04/1756;65
88;01/05/1756;147
89;01/06/1756;133
90;01/07/1756;12
91;01/08/1756;33
92;01/09/1756;147
93;01/10/1756;192
94;01/11/1756;261
95;01/12/1756;65
96;01/01/1757;176
97;01/02/1757;432
98;01/03/1757;616
99;01/04/1757;867
100;01/05/1757;1365
101;01/06/1757;147
102;01/07/1757;588
103;01/08/1757;2352
104;01/09/1757;1365
105;01/10/1757;936
106;01/11/1757;3816
107;01/12/1757;1008
108;01/01/1758;1240
109;01/02/1758;2408
110;01/03/1758;2241
111;01/04/1758;4800
112;01/05/1758;1976
113;01/06/1758;1776
114;01/07/1758;1825
115;01/08/1758;1365
116;01/09/1758;3675
117;01/10/1758;1365
118;01/11/1758;1776
119;01/12/1758;1680
120;01/01/1759;2133
121;01/02/1759;1776
122;01/03/1759;2028
123;01/04/1759;1976
124;01/05/1759;2241
125;01/06/1759;2241
126;01/07/1759;2408
127;01/08/1759;4720
128;01/09/1759;5547
129;01/10/1759;3333
130;01/11/1759;2028
131;01/12/1759;3072
132;01/01/1760;4181
133;01/02/1760;3333
134;01/03/1760;5208
135;01/04/1760;3136
136;01/05/1760;4880
137;01/06/1760;2080
138;01/07/1760;4033
139;01/08/1760;5208
140;01/09/1760;3400
141;01/10/1760;2408
142;01/11/1760;3201
143;01/12/1760;3536
144;01/01/1761;4408
145;01/02/1761;7600
146;01/03/1761;5896
147;01/04/1761;4720
148;01/05/1761;10800
149;01/06/1761;8965
150;01/07/1761;8216
151;01/08/1761;7701
152;01/09/1761;9185
153;01/10/1761;7301
154;01/11/1761;7400
155;01/12/1761;1875
156;01/01/1762;1680
157;01/02/1762;4961
158;01/03/1762;1925
159;01/04/1762;3267
160;01/05/1762;1452
161;01/06/1762;5461
162;01/07/1762;1045
163;01/08/1762;4181
164;01/09/1762;4256
165;01/10/1762;4408
166;01/11/1762;5633
167;01/12/1762;5376
168;01/01/1763;2883
169;01/02/1763;972
170;01/03/1763;1045
171;01/04/1763;1008
172;01/05/1763;972
173;01/06/1763;1160
174;01/07/1763;2640
175;01/08/1763;645
176;01/09/1763;4181
177;01/10/1763;1925
178;01/11/1763;3400
179;01/12/1763;3536
180;01/01/1764;3201
181;01/02/1764;3333
182;01/03/1764;1496
183;01/04/1764;1008
184;01/05/1764;1875
185;01/06/1764;800
186;01/07/1764;867
187;01/08/1764;833
188;01/09/1764;705
189;01/10/1764;705
190;01/11/1764;616
191;01/12/1764;560
192;01/01/1765;507
193;01/02/1765;616
194;01/03/1765;560
195;01/04/1765;432
196;01/05/1765;363
197;01/06/1765;341
198;01/07/1765;616
199;01/08/1765;833
200;01/09/1765;208
201;01/10/1765;161
202;01/11/1765;161
203;01/12/1765;147
204;01/01/1766;133
205;01/02/1766;120
206;01/03/1766;1200
207;01/04/1766;40
208;01/05/1766;675
209;01/06/1766;8
210;01/07/1766;8
211;01/08/1766;8
212;01/09/1766;8
213;01/10/1766;21
214;01/11/1766;33
215;01/12/1766;320
216;01/01/1767;675
217;01/02/1767;800
218;01/03/1767;1680
219;01/04/1767;972
220;01/05/1767;833
221;01/06/1767;972
222;01/07/1767;408
223;01/08/1767;1496
224;01/09/1767;1633
225;01/10/1767;1825
226;01/11/1767;2821
227;01/12/1767;2523
228;01/01/1768;2581
229;01/02/1768;3888
230;01/03/1768;1925
231;01/04/1768;1587
232;01/05/1768;5461
233;01/06/1768;5461
234;01/07/1768;2640
235;01/08/1768;4033
236;01/09/1768;5208
237;01/10/1768;5461
238;01/11/1768;7500
239;01/12/1768;11532
240;01/01/1769;5125
241;01/02/1769;3816
242;01/03/1769;3675
243;01/04/1769;8640
244;01/05/1769;5043
245;01/06/1769;8216
246;01/07/1769;13200
247;01/08/1769;13200
248;01/09/1769;20501
249;01/10/1769;23056
250;01/11/1769;20008
251;01/12/1769;11408
252;01/01/1770;9861
253;01/02/1770;18565
254;01/03/1770;5896
255;01/04/1770;2408
256;01/05/1770;4563
257;01/06/1770;6440
258;01/07/1770;11163
259;01/08/1770;14560
260;01/09/1770;10092
261;01/10/1770;9747
262;01/11/1770;16280
263;01/12/1770;9520
264;01/01/1771;1240
265;01/02/1771;2028
266;01/03/1771;1976
267;01/04/1771;3888
268;01/05/1771;21336
269;01/06/1771;12936
270;01/07/1771;4181
271;01/08/1771;3072
272;01/09/1771;9633
273;01/10/1771;7500
274;01/11/1771;9075
275;01/12/1771;8321
276;01/01/1772;9408
277;01/02/1772;7500
278;01/03/1772;901
279;01/04/1772;7905
280;01/05/1772;1323
281;01/06/1772;3008
282;01/07/1772;5547
283;01/08/1772;2821
284;01/09/1772;2296
285;01/10/1772;5547
286;01/11/1772;3468
287;01/12/1772;3745
288;01/01/1773;2760
289;01/02/1773;736
290;01/03/1773;2408
291;01/04/1773;1008
292;01/05/1773;1587
293;01/06/1773;736
294;01/07/1773;675
295;01/08/1773;133
296;01/09/1773;736
297;01/10/1773;645
298;01/11/1773;1452
299;01/12/1773;1728
300;01/01/1774;2028
301;01/02/1774;4033
302;01/03/1774;2883
303;01/04/1774;1728
304;01/05/1774;2408
305;01/06/1774;705
306;01/07/1774;280
307;01/08/1774;27
308;01/09/1774;65
309;01/10/1774;161
310;01/11/1774;280
311;01/12/1774;133
312;01/01/1775;21
313;01/02/1775;0
314;01/03/1775;133
315;01/04/1775;120
316;01/05/1775;16
317;01/06/1775;147
318;01/07/1775;0
319;01/08/1775;56
320;01/09/1775;12
321;01/10/1775;33
322;01/11/1775;225
323;01/12/1775;48
324;01/01/1776;432
325;01/02/1776;133
326;01/03/1776;27
327;01/04/1776;432
328;01/05/1776;108
329;01/06/1776;320
330;01/07/1776;0
331;01/08/1776;533
332;01/09/1776;225
333;01/10/1776;867
334;01/11/1776;1083
335;01/12/1776;1408
336;01/01/1777;1875
337;01/02/1777;1160
338;01/03/1777;1323
339;01/04/1777;8427
340;01/05/1777;5985
341;01/06/1777;6075
342;01/07/1777;8216
343;01/08/1777;11781
344;01/09/1777;12288
345;01/10/1777;10443
346;01/11/1777;19845
347;01/12/1777;23056
348;01/01/1778;29205
349;01/02/1778;11163
350;01/03/1778;16725
351;01/04/1778;19360
352;01/05/1778;52801
353;01/06/1778;27456
354;01/07/1778;21505
355;01/08/1778;17941
356;01/09/1778;27265
357;01/10/1778;22533
358;01/11/1778;20833
359;01/12/1778;10325
360;01/01/1779;12160
361;01/02/1779;25208
362;01/03/1779;12675
363;01/04/1779;19683
364;01/05/1779;18096
365;01/06/1779;11907
366;01/07/1779;18881
367;01/08/1779;11656
368;01/09/1779;11285
369;01/10/1779;14283
370;01/11/1779;11907
371;01/12/1779;11163
372;01/01/1780;4408
373;01/02/1780;8965
374;01/03/1780;8856
375;01/04/1780;8216
376;01/05/1780;10561
377;01/06/1780;7105
378;01/07/1780;6912
379;01/08/1780;6912
380;01/09/1780;8216
381;01/10/1780;5376
382;01/11/1780;3333
383;01/12/1780;3201
384;01/01/1781;9075
385;01/02/1781;5125
386;01/03/1781;2523
387;01/04/1781;4181
388;01/05/1781;9976
389;01/06/1781;8640
390;01/07/1781;4880
391;01/08/1781;4107
392;01/09/1781;2352
393;01/10/1781;705
394;01/11/1781;4181
395;01/12/1781;1121
396;01/01/1782;2640
397;01/02/1782;1240
398;01/03/1782;1240
399;01/04/1782;1452
400;01/05/1782;2700
401;01/06/1782;1365
402;01/07/1782;1200
403;01/08/1782;1776
404;01/09/1782;1008
405;01/10/1782;456
406;01/11/1782;936
407;01/12/1782;768
408;01/01/1783;705
409;01/02/1783;1408
410;01/03/1783;675
411;01/04/1783;705
412;01/05/1783;507
413;01/06/1783;616
414;01/07/1783;936
415;01/08/1783;385
416;01/09/1783;261
417;01/10/1783;65
418;01/11/1783;225
419;01/12/1783;108
420;01/01/1784;176
421;01/02/1784;65
422;01/03/1784;108
423;01/04/1784;108
424;01/05/1784;40
425;01/06/1784;65
426;01/07/1784;40
427;01/08/1784;108
428;01/09/1784;85
429;01/10/1784;56
430;01/11/1784;243
431;01/12/1784;161
432;01/01/1785;40
433;01/02/1785;56
434;01/03/1785;65
435;01/04/1785;225
436;01/05/1785;363
437;01/06/1785;645
438;01/07/1785;1200
439;01/08/1785;363
440;01/09/1785;972
441;01/10/1785;2028
442;01/11/1785;1541
443;01/12/1785;675
444;01/01/1786;1281
445;01/02/1786;2133
446;01/03/1786;2028
447;01/04/1786;6816
448;01/05/1786;7905
449;01/06/1786;3201
450;01/07/1786;6440
451;01/08/1786;7301
452;01/09/1786;11532
453;01/10/1786;11408
454;01/11/1786;12545
455;01/12/1786;11656
456;01/01/1787;16875
457;01/02/1787;10443
458;01/03/1787;7008
459;01/04/1787;14840
460;01/05/1787;17025
461;01/06/1787;9185
462;01/07/1787;15265
463;01/08/1787;17328
464;01/09/1787;22533
465;01/10/1787;22881
466;01/11/1787;18565
467;01/12/1787;27840
468;01/01/1788;17787
469;01/02/1788;15408
470;01/03/1788;18881
471;01/04/1788;11041
472;01/05/1788;11781
473;01/06/1788;21675
474;01/07/1788;18565
475;01/08/1788;17025
476;01/09/1788;18565
477;01/10/1788;18723
478;01/11/1788;8216
479;01/12/1788;15552
480;01/01/1789;12033
481;01/02/1789;14421
482;01/03/1789;13467
483;01/04/1789;14008
484;01/05/1789;14008
485;01/06/1789;13068
486;01/07/1789;12805
487;01/08/1789;9747
488;01/09/1789;11656
489;01/10/1789;7400
490;01/11/1789;16576
491;01/12/1789;16875
492;01/01/1790;9861
493;01/02/1790;14840
494;01/03/1790;8640
495;01/04/1790;8216
496;01/05/1790;7905
497;01/06/1790;7600
498;01/07/1790;4485
499;01/08/1790;7008
500;01/09/1790;5547
501;01/10/1790;6627
502;01/11/1790;6256
503;01/12/1790;5043
504;01/01/1791;4961
505;01/02/1791;3468
506;01/03/1791;5125
507;01/04/1791;5376
508;01/05/1791;5125
509;01/06/1791;3675
510;01/07/1791;4641
511;01/08/1791;1680
512;01/09/1791;4107
513;01/10/1791;3400
514;01/11/1791;4181
515;01/12/1791;3960
516;01/01/1792;3136
517;01/02/1792;3816
518;01/03/1792;3605
519;01/04/1792;5376
520;01/05/1792;3605
521;01/06/1792;3333
522;01/07/1792;1875
523;01/08/1792;3333
524;01/09/1792;3201
525;01/10/1792;3201
526;01/11/1792;2945
527;01/12/1792;2821
528;01/01/1793;2821
529;01/02/1793;2821
530;01/03/1793;2821
531;01/04/1793;2465
532;01/05/1793;2581
533;01/06/1793;2352
534;01/07/1793;2296
535;01/08/1793;768
536;01/09/1793;560
537;01/10/1793;2080
538;01/11/1793;1728
539;01/12/1793;1976
540;01/01/1794;1875
541;01/02/1794;1728
542;01/03/1794;1365
543;01/04/1794;736
544;01/05/1794;2760
545;01/06/1794;1541
546;01/07/1794;1496
547;01/08/1794;1496
548;01/09/1794;108
549;01/10/1794;768
550;01/11/1794;4181
551;01/12/1794;2408
552;01/01/1795;408
553;01/02/1795;1408
554;01/03/1795;120
555;01/04/1795;300
556;01/05/1795;833
557;01/06/1795;243
558;01/07/1795;147
559;01/08/1795;616
560;01/09/1795;147
561;01/10/1795;320
562;01/11/1795;533
563;01/12/1795;280
564;01/01/1796;408
565;01/02/1796;507
566;01/03/1796;208
567;01/04/1796;972
568;01/05/1796;408
569;01/06/1796;40
570;01/07/1796;675
571;01/08/1796;0
572;01/09/1796;320
573;01/10/1796;120
574;01/11/1796;56
575;01/12/1796;16
576;01/01/1797;192
577;01/02/1797;16
578;01/03/1797;12
579;01/04/1797;8
580;01/05/1797;40
581;01/06/1797;120
582;01/07/1797;12
583;01/08/1797;27
584;01/09/1797;21
585;01/10/1797;48
586;01/11/1797;21
587;01/12/1797;5
588;01/01/1798;5
589;01/02/1798;16
590;01/03/1798;120
591;01/04/1798;1
592;01/05/1798;0
593;01/06/1798;0
594;01/07/1798;0
595;01/08/1798;5
596;01/09/1798;1
597;01/10/1798;1
598;01/11/1798;120
599;01/12/1798;75
600;01/01/1799;3
601;01/02/1799;133
602;01/03/1799;408
603;01/04/1799;48
604;01/05/1799;56
605;01/06/1799;108
606;01/07/1799;1
607;01/08/1799;0
608;01/09/1799;0
609;01/10/1799;21
610;01/11/1799;12
611;01/12/1799;56
612;01/01/1800;48
613;01/02/1800;85
614;01/03/1800;176
615;01/04/1800;0
616;01/05/1800;21
617;01/06/1800;481
618;01/07/1800;385
619;01/08/1800;363
620;01/09/1800;108
621;01/10/1800;147
622;01/11/1800;96
623;01/12/1800;1496
624;01/01/1801;705
625;01/02/1801;768
626;01/03/1801;800
627;01/04/1801;936
628;01/05/1801;936
629;01/06/1801;833
630;01/07/1801;1083
631;01/08/1801;1323
632;01/09/1801;1008
633;01/10/1801;1008
634;01/11/1801;1365
635;01/12/1801;2080
636;01/01/1802;2133
637;01/02/1802;2028
638;01/03/1802;1587
639;01/04/1802;1680
640;01/05/1802;1776
641;01/06/1802;1875
642;01/07/1802;2080
643;01/08/1802;2241
644;01/09/1802;2523
645;01/10/1802;1323
646;01/11/1802;1121
647;01/12/1802;2352
648;01/01/1803;2296
649;01/02/1803;2296
650;01/03/1803;768
651;01/04/1803;533
652;01/05/1803;1825
653;01/06/1803;1240
654;01/07/1803;2187
655;01/08/1803;1083
656;01/09/1803;1925
657;01/10/1803;2700
658;01/11/1803;2352
659;01/12/1803;2133
660;01/01/1804;1825
661;01/02/1804;2080
662;01/03/1804;2133
663;01/04/1804;2352
664;01/05/1804;1008
665;01/06/1804;1121
666;01/07/1804;768
667;01/08/1804;1728
668;01/09/1804;2640
669;01/10/1804;3536
670;01/11/1804;3468
671;01/12/1804;3267
672;01/01/1805;3400
673;01/02/1805;1728
674;01/03/1805;2352
675;01/04/1805;1323
676;01/05/1805;1452
677;01/06/1805;1452
678;01/07/1805;1365
679;01/08/1805;1680
680;01/09/1805;1875
681;01/10/1805;736
682;01/11/1805;1541
683;01/12/1805;1323
684;01/01/1806;1365
685;01/02/1806;768
686;01/03/1806;1008
687;01/04/1806;675
688;01/05/1806;616
689;01/06/1806;645
690;01/07/1806;867
691;01/08/1806;588
692;01/09/1806;507
693;01/10/1806;675
694;01/11/1806;588
695;01/12/1806;533
696;01/01/1807;133
697;01/02/1807;147
698;01/03/1807;85
699;01/04/1807;507
700;01/05/1807;96
701;01/06/1807;120
702;01/07/1807;161
703;01/08/1807;133
704;01/09/1807;27
705;01/10/1807;48
706;01/11/1807;5
707;01/12/1807;0
708;01/01/1808;0
709;01/02/1808;21
710;01/03/1808;0
711;01/04/1808;133
712;01/05/1808;147
713;01/06/1808;147
714;01/07/1808;40
715;01/08/1808;65
716;01/09/1808;133
717;01/10/1808;12
718;01/11/1808;108
719;01/12/1808;147
720;01/01/1809;40
721;01/02/1809;75
722;01/03/1809;0
723;01/04/1809;5
724;01/05/1809;3
725;01/06/1809;56
726;01/07/1809;0
727;01/08/1809;0
728;01/09/1809;0
729;01/10/1809;0
730;01/11/1809;0
731;01/12/1809;0
732;01/01/1810;0
733;01/02/1810;0
734;01/03/1810;0
735;01/04/1810;0
736;01/05/1810;0
737;01/06/1810;0
738;01/07/1810;0
739;01/08/1810;0
740;01/09/1810;0
741;01/10/1810;0
742;01/11/1810;0
743;01/12/1810;0
744;01/01/1811;0
745;01/02/1811;0
746;01/03/1811;0
747;01/04/1811;0
748;01/05/1811;0
749;01/06/1811;0
750;01/07/1811;40
751;01/08/1811;0
752;01/09/1811;3
753;01/10/1811;33
754;01/11/1811;0
755;01/12/1811;0
756;01/01/1812;120
757;01/02/1812;5
758;01/03/1812;0
759;01/04/1812;0
760;01/05/1812;0
761;01/06/1812;3
762;01/07/1812;0
763;01/08/1812;243
764;01/09/1812;16
765;01/10/1812;8
766;01/11/1812;65
767;01/12/1812;96
768;01/01/1813;0
769;01/02/1813;85
770;01/03/1813;3
771;01/04/1813;243
772;01/05/1813;27
773;01/06/1813;120
774;01/07/1813;280
775;01/08/1813;48
776;01/09/1813;208
777;01/10/1813;705
778;01/11/1813;261
779;01/12/1813;176
780;01/01/1814;432
781;01/02/1814;147
782;01/03/1814;27
783;01/04/1814;533
784;01/05/1814;40
785;01/06/1814;192
786;01/07/1814;300
787;01/08/1814;5
788;01/09/1814;48
789;01/10/1814;320
790;01/11/1814;208
791;01/12/1814;363
792;01/01/1815;300
793;01/02/1815;901
794;01/03/1815;645
795;01/04/1815;936
796;01/05/1815;75
797;01/06/1815;2821
798;01/07/1815;1121
799;01/08/1815;1976
800;01/09/1815;901
801;01/10/1815;1008
802;01/11/1815;1281
803;01/12/1815;3960
804;01/01/1816;645
805;01/02/1816;4332
806;01/03/1816;4961
807;01/04/1816;3201
808;01/05/1816;1728
809;01/06/1816;1728
810;01/07/1816;1408
811;01/08/1816;456
812;01/09/1816;2133
813;01/10/1816;2883
814;01/11/1816;1365
815;01/12/1816;768
816;01/01/1817;1200
817;01/02/1817;3072
818;01/03/1817;8533
819;01/04/1817;675
820;01/05/1817;432
821;01/06/1817;1452
822;01/07/1817;2352
823;01/08/1817;1825
824;01/09/1817;1200
825;01/10/1817;616
826;01/11/1817;736
827;01/12/1817;736
828;01/01/1818;1083
829;01/02/1818;432
830;01/03/1818;588
831;01/04/1818;1121
832;01/05/1818;2640
833;01/06/1818;1160
834;01/07/1818;705
835;01/08/1818;901
836;01/09/1818;645
837;01/10/1818;901
838;01/11/1818;120
839;01/12/1818;616
840;01/01/1819;1008
841;01/02/1819;385
842;01/03/1819;8
843;01/04/1819;385
844;01/05/1819;363
845;01/06/1819;1121
846;01/07/1819;936
847;01/08/1819;645
848;01/09/1819;208
849;01/10/1819;675
850;01/11/1819;560
851;01/12/1819;833
852;01/01/1820;320
853;01/02/1820;616
854;01/03/1820;21
855;01/04/1820;320
856;01/05/1820;768
857;01/06/1820;108
858;01/07/1820;385
859;01/08/1820;588
860;01/09/1820;27
861;01/10/1820;65
862;01/11/1820;40
863;01/12/1820;85
864;01/01/1821;432
865;01/02/1821;16
866;01/03/1821;21
867;01/04/1821;65
868;01/05/1821;1
869;01/06/1821;3
870;01/07/1821;5
871;01/08/1821;21
872;01/09/1821;16
873;01/10/1821;320
874;01/11/1821;12
875;01/12/1821;0
876;01/01/1822;0
877;01/02/1822;0
878;01/03/1822;243
879;01/04/1822;133
880;01/05/1822;3
881;01/06/1822;27
882;01/07/1822;56
883;01/08/1822;5
884;01/09/1822;0
885;01/10/1822;0
886;01/11/1822;0
887;01/12/1822;0
888;01/01/1823;0
889;01/02/1823;0
890;01/03/1823;0
891;01/04/1823;0
892;01/05/1823;0
893;01/06/1823;0
894;01/07/1823;0
895;01/08/1823;0
896;01/09/1823;0
897;01/10/1823;0
898;01/11/1823;0
899;01/12/1823;363
900;01/01/1824;408
901;01/02/1824;85
902;01/03/1824;0
903;01/04/1824;320
904;01/05/1824;8
905;01/06/1824;0
906;01/07/1824;0
907;01/08/1824;0
908;01/09/1824;363
909;01/10/1824;588
910;01/11/1824;0
911;01/12/1824;1
912;01/01/1825;21
913;01/02/1825;225
914;01/03/1825;481
915;01/04/1825;8
916;01/05/1825;208
917;01/06/1825;225
918;01/07/1825;867
919;01/08/1825;588
920;01/09/1825;208
921;01/10/1825;192
922;01/11/1825;108
923;01/12/1825;432
924;01/01/1826;300
925;01/02/1826;300
926;01/03/1826;1200
927;01/04/1826;560
928;01/05/1826;936
929;01/06/1826;1240
930;01/07/1826;2465
931;01/08/1826;1452
932;01/09/1826;300
933;01/10/1826;2408
934;01/11/1826;1365
935;01/12/1826;4181
936;01/01/1827;1083
937;01/02/1827;2080
938;01/03/1827;3008
939;01/04/1827;1875
940;01/05/1827;3008
941;01/06/1827;2945
942;01/07/1827;1587
943;01/08/1827;2700
944;01/09/1827;2187
945;01/10/1827;2821
946;01/11/1827;2187
947;01/12/1827;1925
948;01/01/1828;2581
949;01/02/1828;3745
950;01/03/1828;3888
951;01/04/1828;3333
952;01/05/1828;7203
953;01/06/1828;8748
954;01/07/1828;2640
955;01/08/1828;5292
956;01/09/1828;2352
957;01/10/1828;2760
958;01/11/1828;3008
959;01/12/1828;2080
960;01/01/1829;1633
961;01/02/1829;2241
962;01/03/1829;4880
963;01/04/1829;8112
964;01/05/1829;4107
965;01/06/1829;4880
966;01/07/1829;7600
967;01/08/1829;5547
968;01/09/1829;2581
969;01/10/1829;3072
970;01/11/1829;4256
971;01/12/1829;2883
972;01/01/1830;2581
973;01/02/1830;4720
974;01/03/1830;6721
975;01/04/1830;10443
976;01/05/1830;4033
977;01/06/1830;3816
978;01/07/1830;1728
979;01/08/1830;2465
980;01/09/1830;3605
981;01/10/1830;6533
982;01/11/1830;6075
983;01/12/1830;6256
984;01/01/1831;2080
985;01/02/1831;2241
986;01/03/1831;8008
987;01/04/1831;2760
988;01/05/1831;1281
989;01/06/1831;972
990;01/07/1831;1825
991;01/08/1831;2821
992;01/09/1831;1323
993;01/10/1831;2028
994;01/11/1831;1776
995;01/12/1831;768
996;01/01/1832;833
997;01/02/1832;2883
998;01/03/1832;2821
999;01/04/1832;645
1000;01/05/1832;1541
1001;01/06/1832;675
1002;01/07/1832;176
1003;01/08/1832;65
1004;01/09/1832;65
1005;01/10/1832;363
1006;01/11/1832;192
1007;01/12/1832;675
1008;01/01/1833;108
1009;01/02/1833;208
1010;01/03/1833;120
1011;01/04/1833;8
1012;01/05/1833;161
1013;01/06/1833;0
1014;01/07/1833;33
1015;01/08/1833;33
1016;01/09/1833;108
1017;01/10/1833;56
1018;01/11/1833;27
1019;01/12/1833;96
1020;01/01/1834;16
1021;01/02/1834;320
1022;01/03/1834;16
1023;01/04/1834;1
1024;01/05/1834;75
1025;01/06/1834;48
1026;01/07/1834;75
1027;01/08/1834;12
1028;01/09/1834;120
1029;01/10/1834;588
1030;01/11/1834;867
1031;01/12/1834;1045
1032;01/01/1835;48
1033;01/02/1835;560
1034;01/03/1835;363
1035;01/04/1835;3400
1036;01/05/1835;1680
1037;01/06/1835;1008
1038;01/07/1835;3333
1039;01/08/1835;3267
1040;01/09/1835;9408
1041;01/10/1835;8321
1042;01/11/1835;9296
1043;01/12/1835;5547
1044;01/01/1836;7105
1045;01/02/1836;10680
1046;01/03/1836;8965
1047;01/04/1836;18723
1048;01/05/1836;11408
1049;01/06/1836;14283
1050;01/07/1836;12545
1051;01/08/1836;10800
1052;01/09/1836;8427
1053;01/10/1836;17633
1054;01/11/1836;13333
1055;01/12/1836;39216
1056;01/01/1837;32448
1057;01/02/1837;28421
1058;01/03/1837;16875
1059;01/04/1837;17328
1060;01/05/1837;11408
1061;01/06/1837;23056
1062;01/07/1837;24661
1063;01/08/1837;16725
1064;01/09/1837;8427
1065;01/10/1837;13872
1066;01/11/1837;10561
1067;01/12/1837;15552
1068;01/01/1838;19360
1069;01/02/1838;6721
1070;01/03/1838;18408
1071;01/04/1838;14840
1072;01/05/1838;17480
1073;01/06/1838;8216
1074;01/07/1838;10800
1075;01/08/1838;5547
1076;01/09/1838;4961
1077;01/10/1838;7500
1078;01/11/1838;5547
1079;01/12/1838;5720
1080;01/01/1839;10208
1081;01/02/1839;9520
1082;01/03/1839;5547
1083;01/04/1839;3536
1084;01/05/1839;2700
1085;01/06/1839;2700
1086;01/07/1839;6721
1087;01/08/1839;15987
1088;01/09/1839;16280
1089;01/10/1839;7701
1090;01/11/1839;4408
1091;01/12/1839;3745
1092;01/01/1840;5985
1093;01/02/1840;7105
1094;01/03/1840;4181
1095;01/04/1840;3960
1096;01/05/1840;4408
1097;01/06/1840;2241
1098;01/07/1840;3400
1099;01/08/1840;3072
1100;01/09/1840;5043
1101;01/10/1840;2760
1102;01/11/1840;2640
1103;01/12/1840;2700
1104;01/01/1841;533
1105;01/02/1841;833
1106;01/03/1841;800
1107;01/04/1841;1452
1108;01/05/1841;4256
1109;01/06/1841;2821
1110;01/07/1841;867
1111;01/08/1841;1365
1112;01/09/1841;1200
1113;01/10/1841;705
1114;01/11/1841;363
1115;01/12/1841;1323
1116;01/01/1842;385
1117;01/02/1842;408
1118;01/03/1842;385
1119;01/04/1842;645
1120;01/05/1842;533
